cid,lon,lat
1000009506,11.541439,44.853036
1000015936,10.912064,46.697186
1000022742,12.125888,45.481069
1000024158,12.998159,46.409209
1000055666,11.540667,45.313547
1000081894,10.676310,45.151890
1000093412,11.605337,45.096342
100009529,11.278297,44.993412
1000113465,11.626297,45.534969
1000117642,10.721421,44.954127
1000169500,11.701287,45.068378
1000176700,12.030099,45.774763
1000178074,12.148999,45.433584
1000184127,12.911608,45.882348
1000198697,12.216691,44.887286
1000202816,11.487350,44.947362
100020491,12.085024,45.810492
1000206872,10.870840,45.641311
1000207347,12.220687,45.549175
1000211655,11.929293,44.816647
1000226265,11.541710,45.291361
1000234646,11.794602,45.420532
1000261721,12.359872,45.822105
1000263968,11.807880,45.030965
1000268050,11.481605,45.386836
1000306764,12.755091,45.768681
1000307997,12.357803,45.993285
1000330751,10.995204,45.380754
1000358044,11.952624,45.095798
1000361850,11.982551,46.540596
1000381594,11.473316,44.775936
1000389467,10.737773,45.596988
1000408942,10.805256,45.300760
1000417504,11.524165,45.912051
1000426281,12.439496,46.553569
1000430395,10.907435,45.958429
1000450067,11.922170,46.362774
1000460999,11.229348,46.028856
1000461367,12.269946,46.178247
1000471237,11.882815,45.233428
1000474578,11.673619,46.639321
1000478748,11.559013,45.661326
100048421,10.685657,46.626219
1000491767,11.597666,44.914312
1000495202,11.773078,44.842903
1000517452,11.669587,45.320361
100052337,11.871408,45.372010
1000528027,11.425134,45.488599
1000539110,11.443348,45.647107
1000549217,11.908603,45.575899
1000558605,12.022760,45.405532
1000564443,12.286573,45.141678
1000565519,11.454224,45.157772
1000571968,12.265794,45.764597
1000573576,11.123357,44.845982
1000578307,11.594925,44.855888
100060525,10.723064,45.440765
1000621564,11.240241,45.049524
1000628778,12.360222,45.968280
10006301,11.752124,44.982804
1000659758,12.235368,45.473121
1000678181,11.502211,45.609032
100067829,10.915827,44.812130
1000678812,11.143992,46.678225
1000682895,11.320977,45.240622
1000684533,11.487830,46.290578
1000685950,12.198726,45.723476
1000701160,13.409591,45.983220
1000721861,12.032772,45.416695
1000726894,11.850638,45.447904
1000728655,11.086717,45.362658
10007424,11.022106,45.022782
1000745809,12.401906,44.990353
1000762868,11.383918,45.320381
1000770846,12.200049,45.562515
1000783238,10.656771,45.106971
1000783677,12.355509,44.853136
1000789797,11.121742,45.454608
1000790350,11.621145,45.698748
100080020,12.543604,45.661706
1000803797,12.219137,44.951791
1000841906,12.453724,44.953499
1000876431,10.789182,45.303023
1000880753,10.773829,44.772023
1000897951,12.765035,46.167727
1000921981,12.269682,45.556577
1000925272,12.147534,45.783849
1000936081,11.972268,46.021160
1000952775,12.695145,46.148539
1000967462,11.695504,44.803581
1000983717,11.394122,45.760065
1000986947,10.754347,45.057433
1000995140,11.458536,44.833676
1000999650,11.613679,45.481581
1001000502,12.126913,45.134841
1001017846,11.105014,45.323775
1001019027,12.789625,45.562812
1001028304,11.941126,45.361206
1001033536,12.293895,46.234507
